Denominación;Fecha última modificación;Dirección;Código Provincia;Codigo municipioINE;Provincia;Localidad;CP;Zona Acción Social;Teléfono;Fax;Nº Registro;Entidad Titular;Entidad Gestora;Naturaleza;email;Web;Sector;Tipo;Subtipo;Plazas;Latitud;Longitud;Director;Posicion
VIVIENDA SUPERVISADA PARA PERSONAS CON DISCAPACIDAD POR ENFERMEDAD MENTAL LA CONQUISTA;2024-05-15;CALLE CAPITAN MENDEZ VIGO 10 ESCALERA A - 3º D;05;05019;AVILA;AVILA;05003;ÁVILA - NORTE;920 352732;;050756;FAEMA SALUD MENTAL ÁVILA;;ASOCIACIÓN;direccionviviendas@asociacionfaema.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 4;;;MIGUEL HERRAEZ  CALVO;
VIVIENDA SUPERVISADA LA JUVENTUD;2025-07-07;AVENIDA JUVENTUD (DE LA) 5;05;05019;AVILA;AVILA;05003;ÁVILA - SUR;920 352732;;051000;FAEMA SALUD MENTAL ÁVILA;;ASOCIACIÓN;direccionviviendas@asociacionfaema.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;DISCAPACIDAD ENFERMEDAD MENTAL: 3;;;JESÚS  MARTÍN MARTÍN;
"VIVIENDA SUPERVISADA PARA PERSONAS CON DISCAPACIDAD POR ENFERMEDAD MENTAL ""LA RUECA""";2025-07-04;PASEO DON CARMELO 18 2ª PLANTA;05;05019;AVILA;AVILA;05001;ÁVILA - NORTE;920 352732;;050689;FAEMA SALUD MENTAL ÁVILA;;ASOCIACIÓN;direccionviviendas@asociacionfaema.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 8;;;JESÚS MARTÍN MARTÍN;
VIVIENDA SUPERVISADA LA MURALLA;2025-07-07;CALLE NUESTRA SEÑORA DE SONSOLES 81 4º B;05;05019;AVILA;AVILA;05002;ÁVILA - SUR;920 352732;;050949;FAEMA SALUD MENTAL ÁVILA;;ASOCIACIÓN;direccionviviendas@asociacionfaema.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 5;40.6481257;-4.6975447;JESÚS MARTÍN MARTÍN;40.6481257, -4.6975447
VIVIENDA SUPERVISADA LOS COLORES;2025-10-10;CALLE CAMINO DE LOS CHOPOS (DEL) 26 PORTAL 1 BAJO B;05;05019;AVILA;AVILA;05002;ÁVILA - SUR;920 352732;920 608731173;051015;FAEMA SALUD MENTAL ÁVILA;;ASOCIACIÓN;direccionviviendas@asociacionfaema.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;DISCAPACIDAD ENFERMEDAD MENTAL: 3;;;JESUS MARTIN MARTIN;
VIVIENDA PARA PERSONAS CON DISCAPACIDAD POR ENFERMEDAD MENTAL LA COLMENA;2025-07-07;AVENIDA DERECHOS HUMANOS (DE LOS) 40 BAJO A;05;05019;AVILA;AVILA;05003;ÁVILA - SUR;920 352732;;050816;FAEMA SALUD MENTAL ÁVILA;;ASOCIACIÓN;direccionviviendas@asociacionfaema.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 4;;;JESÚS MARTÍN MARTÍN;
VIVIENDA SUPERVISADA PARA PERSONAS CON DISCAPACIDAD POR ENFERMEDAD MENTAL LA CARACOLA;2025-07-07;AVENIDA DERECHOS HUMANOS (DE LOS) 42 BAJO A;05;05019;AVILA;AVILA;05003;ÁVILA - SUR;920 352732;;050817;FAEMA SALUD MENTAL ÁVILA;;ASOCIACIÓN;direccionviviendas@asociacionfaema.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 4;;;JESÚS MARTÍN MARTÍN;
VIVIENDA SUPERVISADA PARA PERSONAS CON DISCAPACIDAD POR ENFERMEDAD MENTAL LAS HERVENCIAS;2025-07-07;CALLE CIUDAD DE CACERES 4 PORTAL 2 - BAJO A;05;05019;AVILA;AVILA;05004;ÁVILA - NORTE;920 352732;920 672043056;050925;FAEMA SALUD MENTAL ÁVILA;;ASOCIACIÓN;direccionviviendas@asociacionfaema.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 4;40.6651146;-4.6691885;JESÚS MARTÍN MARTÍN;40.6651146, -4.6691885
VIVIENDA DERECHOS HUMANOS I;2024-06-15;AVENIDA DERECHOS HUMANOS (DE LOS) 22;05;05019;AVILA;AVILA;05003;ÁVILA - SUR;920 223194;;050975;PRONISA PLENA INCLUSIÓN ÁVILA;;ASOCIACIÓN;oficina@pronisa.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por trastorno del desarrollo intelectual leve o moderado;DISCAPACIDAD INTELECTUAL: 8;;;NURIA JIMÉNEZ JIMÉNEZ;
"MULTICENTRO ""SAN SEGUNDO""";2026-03-14;CALLE PEDRO DE LAGASCA 12-14;05;05019;AVILA;AVILA;05001;ÁVILA - CENTRO;920 212802;;050269;PRONISA PLENA INCLUSIÓN ÁVILA;;ASOCIACIÓN;;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 47;40.6552324;-4.6993179;NURIA JIMENEZ JIMENEZ;40.6552324, -4.6993179
"C.RESIDENCIAL""INFANTAS ELENA Y CRISTINA"" PAB  4 DE ATENCIÓN A PERSONAS CON DISCAPACIDAD";2025-03-14;AVENIDA JUAN PABLO II 20;05;05019;AVILA;AVILA;05002;ÁVILA - SUR;920 257474;920 920257241;050346;DIPUTACIÓN PROVINCIAL DE ÁVILA;;ADMINISTRACIÓN LOCAL;;;PERSONAS CON DISCAPACIDAD;Residencia;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 26;40.6466067;-4.6949856;ALICIA MENESES CARTÓN;40.6466067, -4.6949856
VIVIENDA NOVA VITA;2026-02-14;CALLE SANTO TOMAS 10;05;05019;AVILA;AVILA;05003;ÁVILA - SUR;920 239530;;050947;ASOCIACIÓN PARÁLISIS CEREBRAL Y PATOLOGÍAS AFINES (ASPACE-ÁVILA);;ASOCIACIÓN;gerencia@aspaceavila.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con disc. física, sensorial, por trastorno del desarrollo intelectual y/o por enfer. mental;OTROS: 8;40.6456904;-4.6926375;GUIOMAR MARTIN RODRIGUEZ;40.6456904, -4.6926375
HOGAR ACCEM AVILA II;2023-04-14;CALLE JORGE DE SANTAYANA 8-4;05;05019;AVILA;AVILA;05005;ÁVILA - NORTE;666 532610;;050970;ACCEM;;ASOCIACIÓN;avila@accem.es;;INFANCIA (Y JUVENTUD);Vivienda;Hogar de socialización;NNAMMAS: 8;40.66243;-4.68031;ENRIQUE BARBERO RODRIGUEZ;40.66243, -4.68031
"CENTRO PARA LA PROMOCIÓN DE LA AUTONOMIA PERSONAL E INSERCIÓN SOCIOLABORAL ""FUNDABEM-ÁVILA""";2023-03-03;CALLE RIO TERA 17;05;05019;AVILA;AVILA;05004;ÁVILA - CENTRO;920 225050;;050374;FUNDACIÓN ABULENSE PARA EL EMPLEO (FUNDABEM);;FUNDACIÓN;;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 45;40.6629917;-4.676887499999999;FERNANDO GARCÍA GONZÁLEZ;40.6629917, -4.676887499999999
VIVIENDA APOYADA FUNDABEM;2025-10-14;CALLE NUESTRA SEÑORA DE SONSOLES 81 PORTAL 1 - 4ºC;05;05019;AVILA;AVILA;05002;ÁVILA - SUR;920 223749;;050411;FUNDACIÓN ABULENSE PARA EL EMPLEO (FUNDABEM);;FUNDACIÓN;;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por trastorno del desarrollo intelectual leve o moderado;OTROS: 5;40.6481257;-4.6975447;FERNANDO GARCIA GONZALEZ;40.6481257, -4.6975447
VIVIENDA SUPERVISADA FUNDABEM III;2026-03-14;CALLE RAFAELA DE ANTONIO 11 PORTAL 6 - 2ºD;05;05019;AVILA;AVILA;05003;ÁVILA - SUR;920 223947;;050572;FUNDACIÓN ABULENSE PARA EL EMPLEO (FUNDABEM);;FUNDACIÓN;;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por trastorno del desarrollo intelectual leve o moderado;OTROS: 4;40.64840299999999;-4.6974784;FERNANDO GARCIA GONZALEZ;40.64840299999999, -4.6974784
RESIDENCIA DE PERSONAS MAYORES SANTA TERESA JORNET;2024-11-28;CALLE EMPEDRADA 2;05;05019;AVILA;AVILA;05002;ÁVILA - CENTRO;920 224158;920 211007;050168;"HERMANITAS DE LOS ANCIANOS DESAMPARADOS EN ÁVILA . RESIDENCIA DE TERCERA EDAD ""SANTA TERESA JORNET""";;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;avila@hermanitas.es;;PERSONAS MAYORES;Residencia;Mixta para válidos y asistidos;VÁLIDOS: 83, ASISTIDOS: 81;40.654282;-4.7031067;RITA CADILLO LOMBA;40.654282, -4.7031067
UNIDAD DE ESTANCIAS DIURNAS RESIDENCIA PERSONAS MAYORES VISTASOL;2020-10-14;CALLE CIUDAD DE TOLEDO (DE LA) 4;05;05019;AVILA;AVILA;05004;ÁVILA - NORTE;920 219272;;050484;VISTASOL RESIDENCIAS, S.L.;;SOCIEDADES;;;PERSONAS MAYORES;Centro de día;Estancias diurnas;ASISTIDOS: 25;40.6564225;-4.7003224;PAULINO LOPEZ FERNANDEZ Y FRANCISCO J. TALAVERA GALAN;40.6564225, -4.7003224
RESIDENCIA DE PERSONAS MAYORES SAN MIGUEL ARCANGEL;2022-09-27;PLAZA ACACIAS (DE LAS) 5;05;05021;AVILA;BARCO DE AVILA (EL);05600;ARAVALLE - EL BARCO DE ÁVILA;920 342044;;050093;"FUNDACIÓN MUNICIPAL ""SAN PEDRO DEL BARCO""";;FUNDACIÓN;fspedro2@hotmail.com;;PERSONAS MAYORES;Residencia;Mixta para válidos y asistidos;ASISTIDOS: 30, VÁLIDOS: 20;40.3557374;-5.5267089;FERNANDO REDONDO PEREZ DE LA OSSA;40.3557374, -5.5267089
"CENTRO RESIDENCIAL DE PERSONAS MAYORES ""VIRGEN DE LA PIEDAD""";2021-06-28;CALLE VIRGEN (LA) 34;05;05022;AVILA;BARRACO (EL);05110;ALBERCHE - CEBREROS;920 281485;;050207;AYUNTAMIENTO DE EL BARRACO;;ADMINISTRACIÓN LOCAL;ayuntamiento@elbarraco.org;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 59;40.4743119;-4.6397407;ROBERTO GARCIA SASTRE;40.4743119, -4.6397407
RESIDENCIA DE MAYORES LOS CEREZOS;2026-02-27;CALLE ARROYO DE LA PARRA S/N;05;05022;AVILA;BARRACO (EL);05110;ALBERCHE - CEBREROS;920 281596;920 628281755;050447;RESIDENCIA DE MAYORES LOS CEREZOS, S.L.;;SOCIEDADES;residencialoscerezos@hotmail.com;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 59;;;FELIX FERNANDEZ BARQUILLA;
CENTRO RESIDENCIAL PARA MAYORES BURGOSIERRA;2024-11-25;CARRETERA AVILA CASAVIEJA 2;05;05041;AVILA;BURGOHONDO;05113;ALBERCHE - CEBREROS;639 782367;;050734;NAVASANCHON S.L.;;SOCIEDADES;direccionburgosierra@gmail.com;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 55;40.4162144;-4.7824886;NAZAREZ CORDERO FERNANDEZ;40.4162144, -4.7824886
UNIDAD DE ESTANCIAS DIURNAS DEL CENTRO DE DÍA DE CANDELEDA;2023-08-24;CALLE PEÑA CABALLERA 11(CTRA. ARENAS DE S.PEDRO);05;05047;AVILA;CANDELEDA;05480;TIÉTAR - ARENAS DE SAN PEDRO;920 380299;;050420;GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN;EULEN SERVICIOS SOCIOSANITARIOS S.A.;ADMINISTRACIÓN AUTONÓMICA;;;PERSONAS MAYORES;Centro de día;Estancias diurnas;ASISTIDOS: 10;;;BEGOÑA GARCIA DEL VALLE;
CENTRO DE DIA PARA PERSONAS MAYORES DE CANDELEDA;2023-09-27;CALLE PEÑA CABALLERA 11(CTRA. ARENAS DE S. PEDRO);05;05047;AVILA;CANDELEDA;05480;TIÉTAR - ARENAS DE SAN PEDRO;920 380299;920 380299;050089;GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN;;ADMINISTRACIÓN AUTONÓMICA;;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;;;BEGOÑA GARCIA DEL VALLE;
VIVIENDA TUTELADA Y RESPIRO FAMILIAR GABRIEL Y GALÁN;2025-02-26;CALLE GABRIEL Y GALAN 2 2º B;05;05047;AVILA;CANDELEDA;05480;TIÉTAR - ARENAS DE SAN PEDRO;920 381033;920 744639218;050997;ADISVATI - ASOCIACIÓN PARA EL DESARROLLO INTEGRAL DE LAS PERSONAS CON DISCAPACIDAD Y NECESIDADES ESPECIALES DEL VALLE DEL TIETAR;;ASOCIACIÓN;adisvati5@gmail.com;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por trastorno del desarrollo intelectual leve o moderado;DISCAPACIDAD INTELECTUAL: 3;40.155944;-5.2423091;ÁLVARO DOMÍNGUEZ MÁRQUEZ;40.155944, -5.2423091
CENTRO DE MAYORES DE CARDEÑOSA. UNIDAD DE ATENCION SOCIAL;2023-03-03;BARRIO PEÑA (LA) Nº 8;05;05049;AVILA;CARDEÑOSA;05320;ÁVILA RURAL;920 260001;;050745;AYUNTAMIENTO DE CARDEÑOSA;;ADMINISTRACIÓN LOCAL;;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;40.7411802;-4.7458724;JOSE GARCINUÑO GARCINUÑO;40.7411802, -4.7458724
CENTRO MULTISERVICIOS  TIERRA DE CEBREROS;2023-03-03;TRAVESÍA PLAZA ESPAÑA (DE LA) 3;05;05057;AVILA;CEBREROS;05260;ALBERCHE - CEBREROS;918 633101;;050847;PRONISA PLENA INCLUSIÓN ÁVILA;;ASOCIACIÓN;coordinacioncebreros@pronisa.org;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;40.4551704;-4.4653711;MANUEL MAIZ SAN SEGUNDO;40.4551704, -4.4653711
"CENTRO DE DIA ""CASA VIRGEN DE VALSORDO""";2026-03-12;AVENIDA CONSTITUCION 4;05;05057;AVILA;CEBREROS;05260;ALBERCHE - CEBREROS;918 631248;;050510;SGG CEBREROS, S.L.;;SOCIEDADES;;;PERSONAS MAYORES;Centro de día;Estancias diurnas;ASISTIDOS: 15;40.4553757;-4.4644635;LIDIA PABLO PÉREZ;40.4553757, -4.4644635
"RESIDENCIA DE PERSONAS MAYORES ""EL OLIVAR""";2025-10-01;CALLE ERAS (DE LAS) S/N;05;05075;AVILA;FRESNEDILLA;05427;TIÉTAR - LA ADRADA;918 673326;;050502;RESIDENCIA DE MAYORES EL OLIVAR SL;;SOCIEDADES;;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 50;40.2315189;-4.62283;PATRICIA GARCIA MOURIZ;40.2315189, -4.62283
CENTRO RESIDENCIAL VILLA SANTA TERESA;2022-01-05;CARRETERA AVILA (DE) 2;05;05087;AVILA;GOTARRENDURA;05163;ÁVILA RURAL;920 269008;;050307;CONGREGACIÓN DE RELIGIOSAS ESCLAVAS DE LA VIRGEN DOLOROSA;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;direccion.gotarrendura@esclavasvirgendolorosa.es;;PERSONAS CON DISCAPACIDAD;Residencia;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 60;40.8244806;-4.7387293;MARYOLEN BRAVO IBARRA;40.8244806, -4.7387293
VIVIENDA HOGAR SAN ANTONIO 1;;CALLE PISCINA (LA) 51;05;05093;AVILA;CAÑADA (LA);05294;ALBERCHE - CEBREROS;609 085800;;050990;SERVICIOS SOCIOSANITARIOS SAN SEGUNDO, S.L;;SOCIEDADES;ijimenezsansegundo@gmail.com;;INFANCIA (Y JUVENTUD);Vivienda;Vivienda hogar;OTROS: 9;;;IGNACIO JIMENEZ SAN SEGUNDO;
CENTRO DE DÍA PARA PERSONAS MAYORES;2020-10-14;CALLE PLATA (DE LA) S/N.;05;05099;AVILA;HORCAJO DE LAS TORRES;05210;MORAÑA ALTA - MADRIGAL DE LAS ALTAS TORRES;920 327001;920 327373;050319;AYUNTAMIENTO DE HORCAJO DE LAS TORRES;;ADMINISTRACIÓN LOCAL;;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;41.0658588;-5.0908049;FRUCTUOSO CORONA BLANCO;41.0658588, -5.0908049
"RESIDENCIA DE PERSONAS MAYORES ""SAN MARCOS""";2024-02-14;CALLE CASTAÑO GARRO 1;05;05100;AVILA;HORNILLO (EL);05415;TIÉTAR - ARENAS DE SAN PEDRO;655 863119;;050456;MARIA DEL CARMEN CORRAL VINUESA;;PERSONA FÍSICA-EMPRESA INDIVIDUAL;residencia_sanmarcos@yahoo.es;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 30;;;MARIA DEL CARMEN CORRAL VINUESA;
UNIDAD DE ESTANCIAS DIURNAS DE HOYO DE PINARES;2024-11-12;CALLE PITANZA (LA) S/N;05;05102;AVILA;HOYO DE PINARES;05250;ALBERCHE - CEBREROS;918 881263;;050531;UNION DEMOCRATICA PENSIONISTAS Y JUBILADOS DE ESPAÑA (U.D.P.);CENTROS RESIDENCIALES GREDOS, SL;FEDERACIÓN-CONFEDERACIÓN;elregulin@hotmail.com;;PERSONAS MAYORES;Centro de día;Estancias diurnas;ASISTIDOS: 15;40.499817;-4.4189735;MARIA SONSOLES HERNANDEZ ALONSO;40.499817, -4.4189735
"RESIDENCIA DE PERSONAS MAYORES ""VIRGEN DEL ESPINO""";2026-03-17;CALLE LA TORRE S/N;05;05105;AVILA;HOYOS DEL ESPINO;05634;ARAVALLE - EL BARCO DE ÁVILA;920 349269;;050203;AYUNTAMIENTO DE HOYOS DEL ESPINO;GRUPO SERGESA, S.A.;ADMINISTRACIÓN LOCAL;;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 36;40.3572584;-5.1735251;BÁRBARA GALÁN GONZÁLEZ;40.3572584, -5.1735251
CASA DEL BALNEARIO;2022-11-07;CARRETERA DE MARTIHERRERO KM. 5;05;05121;AVILA;MARTIHERRERO;05140;ÁVILA RURAL;920 269480;;050431;FUNDACIÓN LA CASA GRANDE DE MARTIHERRERO - CENTRO SANTA TERESA;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por trastorno del desarrollo intelectual leve o moderado;OTROS: 6;40.67478800000001;-4.780162199999999;ANA TERESA JIMENEZ VAZQUEZ;40.67478800000001, -4.780162199999999
RESIDENCIA LAS CUMBRES;2023-10-26;CALLE VEGA (LA) 12;05;05121;AVILA;MARTIHERRERO;05140;ÁVILA - SUR;920 269527;920 269527;050491;ENCINAR CUADRADO, S.L.;;SOCIEDADES;residencialascumbres@hotmail.es;http://residencialascumbres.com/;PERSONAS CON DISCAPACIDAD;Residencia;Personas con discapacidad por enfermedad mental;OTROS: 45;;;MARIA EULOGIA GARCIA ENCINAR;
RESIDENCIA PARA PERSONAS  MAYORES DE NAVAHONDILLA;2022-11-07;CAMINO DE LA DEHESA Nº 1;05;05156;AVILA;NAVAHONDILLA;05429;VALLE DE CORNEJA - PIEDRAHÍTA;91 8610628;91 8676434;050566;AYUNTAMIENTO DE NAVAHONDILLA;ASISTENCIA AL DISCAPCITADO REAL PARA MAYORES , SL.;ADMINISTRACIÓN LOCAL;info@centromayoresnavahondilla.com;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 48;40.3262748;-4.4925087;MARIA JUANA RAMOS SANCHEZ;40.3262748, -4.4925087
"UNIDAD DE ESTANCIAS DIURNAS ""AIRES DE GREDOS""";2023-03-03;CAMINO PARRILLA (DE LA) 47;05;05163;AVILA;NAVALUENGA;05100;ALBERCHE - CEBREROS;920 298511;920 298613;050423;AIRES DE GREDOS, S.L.;;SOCIEDADES;;;PERSONAS MAYORES;Centro de día;Estancias diurnas;ASISTIDOS: 5;40.4163239;-4.7087127;JUAN ANTONIO GONZALEZ GONZALEZ Y JOSE DELGADO RODRIGUEZ;40.4163239, -4.7087127
"RESIDENCIA PARA PERSONAS DE MAYORES ""VIRGEN DE LAS NIEVES""";2025-01-15;CARRETERA VENTA RASQUILLA, Nº 7;05;05165;AVILA;NAVARREDONDA DE GREDOS;05635;ARAVALLE - EL BARCO DE ÁVILA;920 348125;;050347;AYUNTAMIENTO DE NAVARREDONDA DE GREDOS;EMERALD VENTURES, S.L.;ADMINISTRACIÓN LOCAL;CENTROSRESIDENCIALESGREDOS@GMAIL.COM;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 24;;;CRISTINA SANCHEZ REDONDO;
"RESIDENCIA DE PERSONAS MAYORES ""EL CERRILLO""";2022-01-05;CALLE CERRILLO 33;05;05166;AVILA;NAVARREDONDILLA;05120;ALBERCHE - CEBREROS;920 297667;920 297667;050418;MARIA DEL PILAR SANCHEZ SANCHEZ;RESIDENCIAS IZQUISAN, SL;PERSONA FÍSICA-EMPRESA INDIVIDUAL;residenciaelcerrillo@hotmail.es;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 46;40.4519762;-4.822299;ARÓN GONZALO IZQUIERDO SANCHEZ;40.4519762, -4.822299
UNIDAD DE ESTANCIAS DIURNAS CENTRO POLIVALENTE DE SERVICIOS SOCIALES DE LAS NAVAS DEL MARQUÉS;2023-03-03;CALLE LEPANTO 1;05;05168;AVILA;NAVAS DEL MARQUES (LAS);05230;ALBERCHE - CEBREROS;91 8972000;91 9189721;050762;AYUNTAMIENTO DE LAS NAVAS DEL MARQUÉS;;ADMINISTRACIÓN LOCAL;;;PERSONAS MAYORES;Centro de día;Estancias diurnas;ASISTIDOS: 30;40.5990404;-4.3337309;GERARDO PEREZ GARCIA;40.5990404, -4.3337309
